food_name,calories,proteins,fat,carbohydrate
Ayam goreng,302.0,18.2,25.0,0.0
Ayam pop,302.0,18.2,25.0,0.0
Gulai tambusu,130.0,14.0,7.2,1.5
Kue ape,364.0,7.0,0.5,80.0
Kue bika ambon,460.0,28.5,35.2,7.2
Kue cenil,452.0,1.3,13.8,80.6
Kue dadar gulung,365.0,8.9,1.3,77.3
Kue gethuk lidri,110.0,1.4,1.1,23.4
Kue kastangel,326.0,22.8,20.3,13.1
Kue klepon,386.0,3.0,10.0,76.0
Kue lapis,0.0,0.0,0.2,0.0
Kue lumpur,62.0,3.7,0.3,11.1
Kue nagasari,120.0,1.2,0.2,31.8
Kue pastel,365.0,8.9,1.3,77.3
Kue putri salju,356.0,0.4,0.5,90.6
Kue risoles,110.0,1.4,2.1,21.4
Lanting,23.0,1.2,0.6,3.7
Lumpia,27.0,0.6,0.3,5.2
Putu ayu,0.0,0.0,0.0,0.0
Serabi solo,364.0,7.0,0.5,80.0
Telur balado,182.0,2.4,0.4,42.2
Telur dadar,386.0,17.0,35.0,0.8
Wajik,369.0,9.5,1.4,77.1
lemper,369.0,9.5,1.4,77.1
